id,Date,Rm Sold,Revenue,ADR,RevPar,Occupancy_Pct,Year,Month,DayOfWeek,DayOfYear,Quarter,created_at
102,2025-04-12 00:00:00,280.0,140609.82,502.1779285714286,414.7782300884956,82.59587020648968,2025,4,5,102,2,2025-08-17 08:40:34
103,2025-04-13 00:00:00,276.0,140179.71,507.8975,413.50946902654863,81.41592920353983,2025,4,6,103,2,2025-08-17 08:40:34
104,2025-04-14 00:00:00,335.0,176551.80999999997,527.0203283582089,520.8017994100294,98.82005899705014,2025,4,0,104,2,2025-08-17 08:40:34
105,2025-04-15 00:00:00,328.0,186867.26000000004,569.7172560975611,551.2308554572272,96.7551622418879,2025,4,1,105,2,2025-08-17 08:40:34
106,2025-04-16 00:00:00,330.0,190770.19999999998,578.0915151515151,562.7439528023598,97.34513274336283,2025,4,2,106,2,2025-08-17 08:40:34
107,2025-04-17 00:00:00,316.0,166529.80999999997,526.9930696202531,491.23837758112086,93.21533923303835,2025,4,3,107,2,2025-08-17 08:40:34
108,2025-04-18 00:00:00,295.0,151359.72000000003,513.0837966101695,446.4888495575222,87.02064896755162,2025,4,4,108,2,2025-08-17 08:40:34
109,2025-04-19 00:00:00,255.0,128029.9,502.07803921568626,377.66932153392327,75.22123893805309,2025,4,5,109,2,2025-08-17 08:40:34
110,2025-04-20 00:00:00,250.0,118295.75000000003,473.1830000000001,348.9550147492626,73.74631268436578,2025,4,6,110,2,2025-08-17 08:40:34
111,2025-04-21 00:00:00,246.0,117064.79000000001,475.87313008130087,345.3238643067847,72.56637168141593,2025,4,0,111,2,2025-08-17 08:40:34
112,2025-04-22 00:00:00,279.0,131438.36,471.10523297491034,387.7237758112094,82.30088495575221,2025,4,1,112,2,2025-08-17 08:40:34
113,2025-04-23 00:00:00,298.0,150795.91,506.0265436241611,444.82569321533924,87.90560471976401,2025,4,2,113,2,2025-08-17 08:40:34
114,2025-04-24 00:00:00,302.0,148281.47,490.9982450331126,437.4084660766962,89.08554572271386,2025,4,3,114,2,2025-08-17 08:40:34
115,2025-04-25 00:00:00,264.0,126073.16,477.5498484848485,371.8972271386431,77.87610619469027,2025,4,4,115,2,2025-08-17 08:40:34
116,2025-04-26 00:00:00,274.0,125519.89000000001,458.10178832116793,370.26516224188794,80.8259587020649,2025,4,5,116,2,2025-08-17 08:40:34
117,2025-04-27 00:00:00,298.0,145343.83000000002,487.73097315436246,428.7428613569322,87.90560471976401,2025,4,6,117,2,2025-08-17 08:40:34
118,2025-04-28 00:00:00,326.0,171099.52000000002,524.8451533742332,504.7183480825959,96.16519174041298,2025,4,0,118,2,2025-08-17 08:40:34
119,2025-04-29 00:00:00,327.0,169800.21,519.2666972477064,500.8855752212389,96.46017699115043,2025,4,1,119,2,2025-08-17 08:40:34
120,2025-04-30 00:00:00,327.0,184204.2,563.3155963302753,543.3752212389381,96.46017699115043,2025,4,2,120,2,2025-08-17 08:40:34
121,2025-05-01 00:00:00,331.0,160197.81,483.9812990936556,472.55991150442475,97.6401179941003,2025,5,3,121,2,2025-08-17 08:40:34
122,2025-05-02 00:00:00,297.0,145372.43,489.46946127946126,428.827227138643,87.61061946902655,2025,5,4,122,2,2025-08-17 08:40:34
123,2025-05-03 00:00:00,280.0,102978.08,367.77885714285713,303.77014749262537,82.59587020648968,2025,5,5,123,2,2025-08-17 08:40:34
124,2025-05-04 00:00:00,235.0,79437.69,338.0327234042553,234.32946902654868,69.32153392330383,2025,5,6,124,2,2025-08-17 08:40:34
125,2025-05-05 00:00:00,296.0,98287.28,332.0516216216216,289.93297935103243,87.31563421828909,2025,5,0,125,2,2025-08-17 08:40:34
126,2025-05-06 00:00:00,312.0,109786.72999999998,351.8805448717948,323.8546607669616,92.03539823008849,2025,5,1,126,2,2025-08-17 08:40:34
127,2025-05-07 00:00:00,308.0,109650.61,356.008474025974,323.4531268436578,90.85545722713864,2025,5,2,127,2,2025-08-17 08:40:34
128,2025-05-08 00:00:00,266.0,91669.92000000001,344.6237593984963,270.4127433628319,78.46607669616519,2025,5,3,128,2,2025-08-17 08:40:34
129,2025-05-09 00:00:00,282.0,87327.82,309.6731205673759,257.6041887905605,83.1858407079646,2025,5,4,129,2,2025-08-17 08:40:34
130,2025-05-10 00:00:00,239.0,72988.06,305.38937238493725,215.30401179941003,70.50147492625368,2025,5,5,130,2,2025-08-17 08:40:34
131,2025-05-11 00:00:00,206.0,65935.4,320.0747572815534,194.49970501474925,60.766961651917406,2025,5,6,131,2,2025-08-17 08:40:34
132,2025-05-12 00:00:00,224.0,78111.11,348.7103125,230.41625368731565,66.07669616519173,2025,5,0,132,2,2025-08-17 08:40:34
133,2025-05-13 00:00:00,238.0,84629.75,355.5871848739496,249.6452802359882,70.20648967551622,2025,5,1,133,2,2025-08-17 08:40:34
134,2025-05-14 00:00:00,245.0,82423.75,336.4234693877551,243.13790560471978,72.27138643067846,2025,5,2,134,2,2025-08-17 08:40:34
135,2025-05-15 00:00:00,221.0,77396.40999999999,350.2099999999999,228.30799410029496,65.19174041297934,2025,5,3,135,2,2025-08-17 08:40:34
136,2025-05-16 00:00:00,207.0,67975.76,328.3853140096618,200.51846607669614,61.06194690265486,2025,5,4,136,2,2025-08-17 08:40:34
137,2025-05-17 00:00:00,207.0,66429.76999999999,320.9167632850241,195.95802359882003,61.06194690265486,2025,5,5,137,2,2025-08-17 08:40:34
138,2025-05-18 00:00:00,181.0,61438.740000000005,339.44055248618787,181.23522123893807,53.392330383480825,2025,5,6,138,2,2025-08-17 08:40:34
139,2025-05-19 00:00:00,198.0,68883.56,347.89676767676764,203.19634218289085,58.4070796460177,2025,5,0,139,2,2025-08-17 08:40:34
140,2025-05-20 00:00:00,236.0,79507.04000000001,336.8942372881356,234.53404129793512,69.6165191740413,2025,5,1,140,2,2025-08-17 08:40:34
141,2025-05-21 00:00:00,236.0,75395.91,319.47419491525426,222.40681415929205,69.6165191740413,2025,5,2,141,2,2025-08-17 08:40:34
142,2025-05-22 00:00:00,232.0,75150.31,323.92375,221.68233038348083,68.43657817109144,2025,5,3,142,2,2025-08-17 08:40:34
